4,12,450,218,90,38,1.0,2,-1,-1,-1
10,13,486,177,23,45,1.0,2,-1,-1,-1
11,13,490,173,26,46,1.0,2,-1,-1,-1
23,13,536,176,60,40,1.0,2,-1,-1,-1
24,13,532,169,47,41,1.0,2,-1,-1,-1
25,13,531,181,65,40,1.0,2,-1,-1,-1
26,13,534,183,49,31,1.0,2,-1,-1,-1
29,12,583,256,125,41,1.0,2,-1,-1,-1
30,12,583,256,138,46,1.0,2,-1,-1,-1
65,10,466,195,32,61,1.0,2,-1,-1,-1
66,10,456,198,41,66,1.0,2,-1,-1,-1
68,10,453,196,32,62,1.0,2,-1,-1,-1
69,10,467,187,28,55,1.0,2,-1,-1,-1
70,10,458,183,28,60,1.0,2,-1,-1,-1
71,10,425,192,29,54,1.0,2,-1,-1,-1
108,11,415,186,25,59,1.0,2,-1,-1,-1
109,11,422,188,25,59,1.0,2,-1,-1,-1
110,11,420,183,25,59,1.0,2,-1,-1,-1
111,11,422,184,25,59,1.0,2,-1,-1,-1
119,11,444,184,25,59,1.0,2,-1,-1,-1
120,11,444,184,25,59,1.0,2,-1,-1,-1
121,11,436,182,25,59,1.0,2,-1,-1,-1
127,10,362,194,26,58,1.0,2,-1,-1,-1
136,11,447,184,51,54,1.0,2,-1,-1,-1
161,11,440,210,97,50,1.0,2,-1,-1,-1
309,12,423,190,30,65,1.0,2,-1,-1,-1
326,11,349,195,32,43,1.0,2,-1,-1,-1
330,11,348,199,32,47,1.0,2,-1,-1,-1
350,11,363,198,25,54,1.0,2,-1,-1,-1
351,11,363,198,31,51,1.0,2,-1,-1,-1
354,11,360,194,31,51,1.0,2,-1,-1,-1
355,11,360,194,31,51,1.0,2,-1,-1,-1
397,10,390,191,32,58,1.0,2,-1,-1,-1
398,10,395,191,32,58,1.0,2,-1,-1,-1
403,10,392,190,33,62,1.0,2,-1,-1,-1
404,10,389,190,33,62,1.0,2,-1,-1,-1
405,10,389,190,33,62,1.0,2,-1,-1,-1
435,11,369,207,25,61,1.0,2,-1,-1,-1
